age,job,marital,education,default,balance,housing,loan,month,duration,campaign,previous,deposit,binary_deposit,binary_default,binary_housing,binary_loan
51,management,married,tertiary,no,10635,yes,no,5,5.6,1,0,no,0,0,1,0
35,blue-collar,single,secondary,no,12223,yes,yes,5,2.95,1,0,no,0,0,1,1
45,management,divorced,tertiary,no,24598,yes,no,5,5.22,3,0,no,0,0,1,0
37,technician,married,tertiary,no,8730,yes,no,5,2.48,1,0,no,0,0,1,0
39,technician,single,other,no,45248,yes,no,5,27.05,1,0,yes,1,0,1,0
40,services,single,tertiary,no,8823,yes,no,5,6.3,1,0,no,0,0,1,0
44,admin,married,secondary,no,58544,yes,no,5,2.4,2,0,no,0,0,1,0
34,entrepreneur,married,tertiary,no,10350,yes,no,5,3.12,3,0,no,0,0,1,0
34,admin,divorced,primary,no,9569,yes,no,5,0.72,2,0,no,0,0,1,0
55,retired,married,secondary,no,18722,yes,no,5,2.13,2,0,no,0,0,1,0
26,technician,single,secondary,no,24299,yes,no,5,11.73,1,0,no,0,0,1,0
59,management,divorced,primary,no,13308,yes,no,5,2.18,1,0,no,0,0,1,0
45,blue-collar,married,secondary,no,8680,yes,no,5,8.38,1,0,no,0,0,1,0
28,technician,single,secondary,no,26765,no,no,5,3.5,8,0,no,0,0,0,0
51,technician,married,secondary,no,12061,yes,no,5,5.53,1,0,no,0,0,1,0
49,management,married,tertiary,no,12482,yes,yes,5,0.77,3,0,no,0,0,1,1
44,services,married,secondary,no,29312,no,no,5,3.77,1,0,no,0,0,0,0
44,management,single,tertiary,no,9956,yes,no,5,3.23,2,0,no,0,0,1,0
48,blue-collar,married,primary,no,9004,no,no,5,2.63,3,0,no,0,0,0,0
45,management,married,tertiary,no,37378,yes,no,5,2.78,1,0,no,0,0,1,0
37,blue-collar,married,secondary,no,15801,yes,no,5,7.6,9,0,no,0,0,1,0
55,management,married,tertiary,no,23189,yes,no,5,1.28,1,0,no,0,0,1,0
49,blue-collar,married,primary,no,11317,yes,no,5,3.47,1,0,no,0,0,1,0
48,management,married,tertiary,no,20718,yes,no,5,2.08,1,0,no,0,0,1,0
48,blue-collar,single,secondary,no,8982,yes,no,5,10.47,1,0,no,0,0,1,0
53,services,married,secondary,no,10749,yes,no,5,3.68,1,0,no,0,0,1,0
32,technician,single,other,no,10600,no,no,5,8.08,2,0,no,0,0,0,0
48,technician,single,secondary,no,9131,yes,no,5,15.03,5,0,no,0,0,1,0
43,blue-collar,married,secondary,no,15740,yes,no,5,4.2,2,0,no,0,0,1,0
43,admin,single,secondary,no,56831,no,no,5,4.05,1,0,no,0,0,0,0
42,blue-collar,married,secondary,no,9359,yes,no,5,3.28,1,0,no,0,0,1,0
53,entrepreneur,married,tertiary,no,22370,yes,no,5,1.77,1,0,no,0,0,1,0
45,services,married,secondary,no,9077,yes,no,5,2.32,1,0,no,0,0,1,0
55,admin,married,secondary,no,9039,yes,no,5,3.12,6,0,no,0,0,1,0
39,management,divorced,tertiary,no,9541,no,no,5,13.58,1,0,no,0,0,0,0
47,management,divorced,tertiary,no,10399,yes,no,5,0.98,2,0,no,0,0,1,0
29,management,married,tertiary,no,10576,no,no,5,20.4,2,0,yes,1,0,0,0
46,self-employed,divorced,tertiary,no,8717,yes,no,5,5.72,5,0,no,0,0,1,0
60,services,married,secondary,no,8837,yes,no,5,2.4,4,0,no,0,0,1,0
32,self-employed,single,tertiary,no,12269,no,no,5,2.35,1,0,no,0,0,0,0
54,management,divorced,tertiary,no,29887,yes,no,5,14.42,1,0,no,0,0,1,0
42,management,single,tertiary,no,10561,no,no,5,4.05,2,0,no,0,0,0,0
60,admin,married,secondary,no,12210,yes,no,5,4.27,1,0,no,0,0,1,0
51,services,married,primary,no,8806,yes,no,5,2.18,1,0,no,0,0,1,0
30,blue-collar,married,secondary,no,12697,yes,yes,5,1.58,1,0,no,0,0,1,1
42,housemaid,married,primary,no,14752,no,no,5,1.78,2,0,no,0,0,0,0
31,blue-collar,married,secondary,no,9714,yes,no,5,3.03,2,0,no,0,0,1,0
45,management,married,other,no,9051,yes,no,5,2.07,63,0,no,0,0,1,0
39,services,married,secondary,no,9374,yes,no,5,4.55,1,0,no,0,0,1,0
36,blue-collar,married,other,no,17983,yes,no,5,1.67,1,0,no,0,0,1,0
56,entrepreneur,married,tertiary,no,8741,yes,no,5,5.3,3,0,no,0,0,1,0
32,technician,married,secondary,no,11697,yes,no,5,4.93,1,0,no,0,0,1,0
37,management,single,tertiary,no,23867,no,no,5,3.13,3,0,no,0,0,0,0
31,services,married,secondary,no,11512,yes,no,5,2.98,1,0,no,0,0,1,0
35,self-employed,married,tertiary,no,35368,yes,no,5,1.05,1,0,no,0,0,1,0
31,admin,married,secondary,no,8784,yes,no,5,1.05,2,0,no,0,0,1,0
37,blue-collar,single,secondary,no,13156,yes,no,5,4.0,1,0,no,0,0,1,0
35,entrepreneur,single,secondary,no,12961,yes,no,5,4.53,2,0,no,0,0,1,0
32,blue-collar,single,secondary,no,15341,no,no,5,12.3,3,0,no,0,0,0,0
33,management,married,tertiary,no,11149,yes,no,5,6.97,2,0,no,0,0,1,0
32,blue-collar,married,primary,no,29050,yes,yes,5,9.38,2,0,no,0,0,1,1
33,technician,single,tertiary,no,8874,no,yes,5,2.53,3,0,no,0,0,0,1
31,management,single,tertiary,no,24870,yes,no,5,10.57,2,0,no,0,0,1,0
43,technician,married,secondary,no,8541,yes,no,5,4.32,9,0,no,0,0,1,0
