age,job,marital,education,default,balance,housing,loan,month,duration,campaign,previous,deposit,binary_deposit,binary_default,binary_housing,binary_loan,balance_status,age_group
58,management,married,tertiary,no,2143,yes,no,5,4.35,1,0,no,0,0,1,0,very high,50
44,technician,single,secondary,no,29,yes,no,5,2.52,1,0,no,0,0,1,0,low,40
33,entrepreneur,married,secondary,no,2,yes,yes,5,1.27,1,0,no,0,0,1,1,low,30
47,blue-collar,married,other,no,1506,yes,no,5,1.53,1,0,no,0,0,1,0,high,40
33,other,single,other,no,1,no,no,5,3.3,1,0,no,0,0,0,0,low,30
35,management,married,tertiary,no,231,yes,no,5,2.32,1,0,no,0,0,1,0,low,30
28,management,single,tertiary,no,447,yes,yes,5,3.62,1,0,no,0,0,1,1,medium,20
42,entrepreneur,divorced,tertiary,yes,2,yes,no,5,6.33,1,0,no,0,1,1,0,low,40
58,retired,married,primary,no,121,yes,no,5,0.83,1,0,no,0,0,1,0,low,50
43,technician,single,secondary,no,593,yes,no,5,0.92,1,0,no,0,0,1,0,medium,40
41,admin,divorced,secondary,no,270,yes,no,5,3.7,1,0,no,0,0,1,0,medium,40
29,admin,single,secondary,no,390,yes,no,5,2.28,1,0,no,0,0,1,0,medium,20
53,technician,married,secondary,no,6,yes,no,5,8.62,1,0,no,0,0,1,0,low,50
58,technician,married,other,no,71,yes,no,5,1.18,1,0,no,0,0,1,0,low,50
57,services,married,secondary,no,162,yes,no,5,2.9,1,0,no,0,0,1,0,low,50
51,retired,married,primary,no,229,yes,no,5,5.88,1,0,no,0,0,1,0,low,50
45,admin,single,other,no,13,yes,no,5,1.63,1,0,no,0,0,1,0,low,40
57,blue-collar,married,primary,no,52,yes,no,5,0.63,1,0,no,0,0,1,0,low,50
60,retired,married,primary,no,60,yes,no,5,3.65,1,0,no,0,0,1,0,low,60
33,services,married,secondary,no,0,yes,no,5,0.9,1,0,no,0,0,1,0,negative,30
28,blue-collar,married,secondary,no,723,yes,yes,5,4.37,1,0,no,0,0,1,1,high,20
56,management,married,tertiary,no,779,yes,no,5,2.73,1,0,no,0,0,1,0,high,50
32,blue-collar,single,primary,no,23,yes,yes,5,2.67,1,0,no,0,0,1,1,low,30
25,services,married,secondary,no,50,yes,no,5,5.7,1,0,no,0,0,1,0,low,20
40,retired,married,primary,no,0,yes,yes,5,3.02,1,0,no,0,0,1,1,negative,40
44,admin,married,secondary,no,-372,yes,no,5,2.87,1,0,no,0,0,1,0,negative,40
39,management,single,tertiary,no,255,yes,no,5,4.93,1,0,no,0,0,1,0,low,30
52,entrepreneur,married,secondary,no,113,yes,yes,5,2.12,1,0,no,0,0,1,1,low,50
46,management,single,secondary,no,-246,yes,no,5,4.25,2,0,no,0,0,1,0,negative,40
36,technician,single,secondary,no,265,yes,yes,5,5.8,1,0,no,0,0,1,1,medium,30
57,technician,married,secondary,no,839,no,yes,5,3.75,1,0,no,0,0,0,1,high,50
49,management,married,tertiary,no,378,yes,no,5,3.83,1,0,no,0,0,1,0,medium,40
60,admin,married,secondary,no,39,yes,yes,5,3.47,1,0,no,0,0,1,1,low,60
59,blue-collar,married,secondary,no,0,yes,no,5,3.77,1,0,no,0,0,1,0,negative,50
57,technician,divorced,secondary,no,63,yes,no,5,4.03,1,0,no,0,0,1,0,low,50
25,blue-collar,married,secondary,no,-7,yes,no,5,6.08,1,0,no,0,0,1,0,negative,20
53,technician,married,secondary,no,-3,no,no,5,27.77,1,0,no,0,0,0,0,negative,50
36,admin,divorced,secondary,no,506,yes,no,5,9.62,1,0,no,0,0,1,0,medium,30
37,admin,single,secondary,no,0,yes,no,5,2.28,1,0,no,0,0,1,0,negative,30
44,services,divorced,secondary,no,2586,yes,no,5,2.67,1,0,no,0,0,1,0,very high,40
